file,mfcc_1,bandwidth,rolloff,zero_cross,chroma,centroid,rms
genres/classical/classical.00000.wav,-6.9053473472595215,1559.0057403444712,2716.306158008266,0.0982227015661253,0.2523919343948364,1505.1664239695372,0.036244891583919525
genres/classical/classical.00001.wav,-9.945524215698242,1441.2431338982612,2387.7291296584976,0.08776562802107502,0.21499502658843994,1360.6436715050686,0.030625173822045326
genres/classical/classical.00002.wav,-5.381451606750488,1600.1157444641121,2785.2940110208815,0.09004578439191802,0.27795809507369995,1490.2753639425305,0.04385954886674881
genres/classical/classical.00003.wav,-8.242498397827148,1499.4393424163538,2916.000387452871,0.10894638498163187,0.23422931134700775,1526.6298823738111,0.029442084953188896
genres/classical/classical.00004.wav,-9.778282165527344,1646.064010327941,3174.931742586282,0.11285716659416087,0.22157375514507294,1705.5632594748913,0.042316313832998276
genres/classical/classical.00005.wav,-6.696701526641846,1558.1129466265593,2835.996127737094,0.07521004024071926,0.2685302495956421,1431.0551928724476,0.043262235820293427
genres/classical/classical.00006.wav,-7.091408729553223,1579.2133273157162,2737.714458562935,0.07290118365719257,0.26147446036338806,1372.6378004260011,0.03321557119488716
genres/classical/classical.00007.wav,-6.871463298797607,1516.24077188961,2667.719058149652,0.07312700901488786,0.27653801441192627,1358.8507735998005,0.040911510586738586
genres/classical/classical.00008.wav,-8.177909851074219,1629.7564323591969,2974.121716846723,0.07877792983855375,0.2547534108161926,1516.83111776797,0.03404487669467926
genres/classical/classical.00009.wav,-9.486082077026367,1582.8265880943743,2560.00308149652,0.056246752344354216,0.2705242931842804,1216.1877859259905,0.02380259521305561
genres/classical/classical.00010.wav,-9.214701652526855,1570.642351791186,2868.5790449173433,0.08621732707366589,0.24495530128479004,1497.3690865419846,0.029510604217648506
genres/classical/classical.00011.wav,-10.2828369140625,1112.8597253261503,1697.3842966031032,0.06075721734822119,0.2430950403213501,950.2545384089235,0.0214912761002779
genres/classical/classical.00012.wav,-9.84787368774414,1332.2220685520304,2154.494396661108,0.06596252960653519,0.23561576008796692,1180.383444615394,0.03140295669436455
genres/classical/classical.00013.wav,-10.248037338256836,1456.1411319411138,2598.38147794011,0.08087606643948182,0.23217624425888062,1387.9618032265548,0.03172732889652252
genres/classical/classical.00014.wav,-10.435576438903809,1370.5555042250276,2388.986482199826,0.06845076251933488,0.23403248190879822,1279.4349030215276,0.031625304371118546
